Squad,# Pl,Age,Poss,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 xG,Per 90 xA,Per 90 xG+xA,Per 90 npxG,Per 90 npxG+xA
ar Argentina,20,29.6,65.3,4,44,360,4.0,6,6,6,0,1,6,0,1.50,1.50,3.00,1.50,3.00,4.9,4.1,3.0,7.1,1.23,0.75,1.97,1.04,1.78
au Australia,15,27.7,51.7,3,33,270,3.0,2,0,0,2,2,7,0,0.67,0.00,0.67,0.00,0.00,3.5,2.0,1.6,3.6,1.16,0.55,1.71,0.66,1.21
be Belgium,21,27.7,52.9,7,77,630,7.0,15,12,14,1,1,1,0,2.14,1.71,3.86,2.00,3.71,11.8,11.1,9.1,20.2,1.69,1.30,2.99,1.58,2.88
br Brazil,18,28.2,58.6,5,55,450,5.0,8,7,8,0,0,3,0,1.60,1.40,3.00,1.60,3.00,11.8,11.8,9.0,20.8,2.36,1.80,4.16,2.36,4.16
co Colombia,20,26.8,50.5,4,44,390,4.3,6,5,6,0,0,3,1,1.38,1.15,2.54,1.38,2.54,2.7,2.7,2.3,5.1,0.63,0.54,1.17,0.63,1.17
cr Costa Rica,20,29.9,39.3,3,33,270,3.0,1,1,1,0,1,6,0,0.33,0.33,0.67,0.33,0.67,2.1,1.3,1.1,2.5,0.70,0.38,1.07,0.44,0.82
hr Croatia,21,28.8,56.6,7,77,720,8.0,13,8,12,1,2,4,0,1.62,1.00,2.62,1.50,2.50,10.2,8.7,5.8,14.5,1.28,0.72,2.00,1.09,1.81
dk Denmark,20,26.9,43.8,4,44,390,4.3,3,3,3,0,0,5,0,0.69,0.69,1.38,0.69,1.38,2.8,2.8,2.3,5.1,0.65,0.52,1.17,0.65,1.17
eg Egypt,16,28.9,43.3,3,33,270,3.0,2,1,1,1,1,5,0,0.67,0.33,1.00,0.33,0.67,2.6,1.8,1.5,3.3,0.87,0.49,1.36,0.61,1.10
eng England,21,25.5,54.4,7,77,690,7.7,12,6,9,3,3,2,0,1.57,0.78,2.35,1.17,1.96,10.0,7.7,5.3,13.1,1.31,0.70,2.00,1.01,1.70
